#  Energy (eV) |  DOS (states/eV)
  -23.60228733    0.0000000000
  -23.56369528    0.0000000000
  -23.52510322    0.0000000000
  -23.48651117    0.0000000000
  -23.44791912    0.0000000000
  -23.40932707    0.0000000000
  -23.37073501    0.0000000000
  -23.33214296    0.0000000000
  -23.29355091    0.0000000000
  -23.25495885    0.0000000000
  -23.21636680    0.0000000000
  -23.17777475    0.0000000000
  -23.13918270    0.0000000000
  -23.10059064    0.0000000000
  -23.06199859    0.0000000000
  -23.02340654    0.0000000000
  -22.98481448    0.0000000000
  -22.94622243    0.0000000000
  -22.90763038    0.0000000000
  -22.86903833    0.0000000000
  -22.83044627    0.0000000000
  -22.79185422    0.0000000000
  -22.75326217    0.0000000000
  -22.71467011    0.0000000000
  -22.67607806    0.0000000000
  -22.63748601    0.0000000000
  -22.59889396    0.0000000000
  -22.56030190    0.0000000000
  -22.52170985    0.0000000000
  -22.48311780    0.0000000000
  -22.44452574    0.0000000000
  -22.40593369    0.0000000000
  -22.36734164    0.0000000000
  -22.32874959    0.0000000000
  -22.29015753    0.0000000000
  -22.25156548    0.0000000000
  -22.21297343    0.0000000000
  -22.17438137    0.0000000000
  -22.13578932    0.0000000000
  -22.09719727    0.0000000000
  -22.05860522    0.0000000000
  -22.02001316    0.0000000000
  -21.98142111    0.0000000000
  -21.94282906    0.0000000000
  -21.90423700    0.0000000000
  -21.86564495    0.0000000000
  -21.82705290    0.0000000000
  -21.78846085    0.0000000000
  -21.74986879    0.0000000000
  -21.71127674    0.0000000000
  -21.67268469    0.0000000000
  -21.63409263    0.0000000000
  -21.59550058    0.0000000000
  -21.55690853    0.0000000000
  -21.51831648    0.0000000000
  -21.47972442    0.0000000000
  -21.44113237    0.0000000000
  -21.40254032    0.0000000000
  -21.36394826    0.0000000000
  -21.32535621    0.0000000000
  -21.28676416    0.0000000000
  -21.24817211    0.0000000000
  -21.20958005    0.0000000000
  -21.17098800    0.0000000000
  -21.13239595    0.0000000000
  -21.09380389    0.0000000000
  -21.05521184    0.0000000000
  -21.01661979    0.0000000000
  -20.97802774    0.0000000003
  -20.93943568    0.0000000060
  -20.90084363    0.0000000995
  -20.86225158    0.0000013450
  -20.82365952    0.0000148110
  -20.78506747    0.0001329763
  -20.74647542    0.0009742119
  -20.70788337    0.0058302803
  -20.66929131    0.0285435292
  -20.63069926    0.1145370073
  -20.59210721    0.3776989341
  -20.55351515    1.0273581351
  -20.51492310    2.3179143060
  -20.47633105    4.3770630508
  -20.43773900    7.0248769027
  -20.39914694    9.8336951120
  -20.36055489   12.4822980181
  -20.32196284   15.0027010838
  -20.28337078   17.4893038652
  -20.24477873   19.5729112189
  -20.20618668   20.5414417552
  -20.16759463   20.3259666863
  -20.12900257   20.2682670974
  -20.09041052   22.4546394076
  -20.05181847   27.9149396314
  -20.01322641   35.4050334039
  -19.97463436   42.0287287330
  -19.93604231   45.1277060679
  -19.89745026   43.8343850577
  -19.85885820   39.3640436740
  -19.82026615   34.2437660187
  -19.78167410   31.0188523928
  -19.74308204   30.9321717467
  -19.70448999   33.2625125304
  -19.66589794   35.9618514595
  -19.62730589   37.3404278012
  -19.58871383   37.4204546827
  -19.55012178   37.6046419729
  -19.51152973   38.9336361217
  -19.47293767   40.8604716341
  -19.43434562   41.9297699133
  -19.39575357   41.3606906341
  -19.35716152   39.4989661021
  -19.31856946   36.9065071388
  -19.27997741   33.7156925968
  -19.24138536   30.1173882572
  -19.20279330   27.0161583305
  -19.16420125   25.7818695338
  -19.12560920   27.3816038881
  -19.08701715   31.8144040639
  -19.04842509   38.1512643057
  -19.00983304   44.8749452058
  -18.97124099   50.3179644335
  -18.93264893   53.1459961086
  -18.89405688   52.6449748152
  -18.85546483   48.6967621890
  -18.81687278   41.8138973601
  -18.77828072   33.4318540696
  -18.73968867   25.8809065096
  -18.70109662   21.5181233580
  -18.66250456   21.5869677953
  -18.62391251   25.8214045313
  -18.58532046   32.8785260467
  -18.54672841   40.8356788506
  -18.50813635   47.4452243772
  -18.46954430   50.6401348360
  -18.43095225   49.5310904608
  -18.39236019   45.1896467653
  -18.35376814   40.2682697479
  -18.31517609   37.4296682869
  -18.27658403   37.6683524465
  -18.23799198   39.7584801897
  -18.19939993   41.2080248187
  -18.16080788   40.0439815498
  -18.12221582   36.2324783247
  -18.08362377   31.7971040924
  -18.04503172   29.5071892389
  -18.00643966   30.9815218759
  -17.96784761   35.6554412809
  -17.92925556   41.4709701677
  -17.89066351   46.4843254118
  -17.85207145   49.7233185022
  -17.81347940   50.8131536052
  -17.77488735   49.4602315182
  -17.73629529   45.6883454082
  -17.69770324   40.3810293348
  -17.65911119   35.2216132598
  -17.62051914   31.9064689419
  -17.58192708   31.2995879796
  -17.54333503   33.1499894765
  -17.50474298   36.4593425826
  -17.46615092   40.1843711692
  -17.42755887   43.7348152284
  -17.38896682   46.7640329964
  -17.35037477   48.4525918428
  -17.31178271   47.3792000530
  -17.27319066   42.7322335320
  -17.23459861   35.9125105195
  -17.19600655   30.5885638556
  -17.15741450   30.5540156701
  -17.11882245   36.9503131299
  -17.08023040   47.1160985759
  -17.04163834   56.0268128883
  -17.00304629   59.3351094803
  -16.96445424   55.8540553098
  -16.92586218   47.8137400963
  -16.88727013   39.0701778513
  -16.84867808   32.9253023562
  -16.81008603   30.9649251339
  -16.77149397   33.0635448541
  -16.73290192   37.9789654364
  -16.69430987   44.0032499047
  -16.65571781   49.3503037425
  -16.61712576   52.2909080142
  -16.57853371   51.4681747787
  -16.53994166   46.6785787414
  -16.50134960   39.5533455913
  -16.46275755   33.1749057868
  -16.42416550   30.5642260571
  -16.38557344   33.1728955196
  -16.34698139   40.4282830735
  -16.30838934   50.2128833299
  -16.26979729   59.5692424934
  -16.23120523   65.4634056483
  -16.19261318   65.8596967192
  -16.15402113   60.7694580907
  -16.11542907   52.3150061842
  -16.07683702   43.5251048830
  -16.03824497   36.8902407254
  -15.99965292   33.7415735388
  -15.96106086   34.3057755338
  -15.92246881   37.8353693495
  -15.88387676   42.8864324239
  -15.84528470   47.9276108609
  -15.80669265   51.7956046238
  -15.76810060   53.6286565144
  -15.72950855   52.8216856951
  -15.69091649   49.4995055230
  -15.65232444   44.8902330921
  -15.61373239   40.7959506952
  -15.57514033   38.5959462482
